Epochs,Train 1Perceptual_Loss,Train 1L2_reg,Train Total Loss,Val 1Perceptual_Loss,Val 1L2_reg,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.08811679378913614,0.13210725734313836,0.2202240514774292,0.07468425930489468,0.10607493668794632,0.18075919603999657,-44.582816553572876,-43.44355392456055
2,0.07817119707505162,0.086159125398904,0.1643303229024235,0.07315736645950546,0.06815100461244583,0.14130837102479574,-39.34838638061913,-38.99766168715079
3,0.07478197133198333,0.05306583285903017,0.12784780428622858,0.06968987808574605,0.040222156792879105,0.10991203445422498,-34.207188877434774,-34.49598882168154
4,0.07316505129392535,0.03214851610314922,0.10531356747443683,0.1790336361037025,0.02914482355117798,0.20817845946625818,-28.805977516661816,-39.25587811047518
5,0.08244061209380436,0.040724289785035124,0.12316490214663192,0.07304542101448096,0.030488595366477966,0.1035340164281145,-40.97038907669604,-42.02399118640755
6,0.07560187718643548,0.023128195460469198,0.0987300726647575,0.06943650157014027,0.0176930520683527,0.0871295519644701,-34.32254412227545,-31.75667671010464
7,0.07066311431340516,0.018431176586201588,0.08909429109896334,0.06437348781884471,0.015445628203451633,0.07981911565684065,-25.818861729801654,-25.4360723314406
8,0.06535487749372808,0.012060156237845794,0.07741503378215689,0.06151182883525196,0.009592094458639622,0.07110392302274704,-20.43823753454434,-23.610584109644346
9,0.0630411728145406,0.00856584972425248,0.07160702240638459,0.05762153217875505,0.007656336296349764,0.06527786848099926,-18.498168652811753,-19.90507261058952
10,0.05925833486234799,0.007208615839005278,0.06646695049902121,0.05341798826297627,0.0066799442283809185,0.06009793267408504,-15.530689458115795,-16.07067398406282
11,0.056561899059020676,0.00583959369363781,0.06240149276753584,0.052088811097643045,0.005372974555939436,0.0574617851761323,-14.064462540439143,-15.039268388778348
12,0.05523197950360874,0.005737674328834771,0.060969653911293505,0.05115362704743313,0.004963069688528776,0.05611669691868975,-13.11398035173599,-14.44976541513129
13,0.05313798670951551,0.004644928543200603,0.05778291520362083,0.049798852940903436,0.0042853509075939655,0.05408420347714726,-11.348365650961574,-12.490864577927168
