Epochs,Train 1Perceptual_Loss,Train 0.09994527491494458kld_loss,Train Total Loss,Val 1Perceptual_Loss,Val 0.09994527491494458kld_loss,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.07891386850585008,0.0066593521533646356,0.08557322075582827,0.07682962196527934,0.0012168022201210769,0.07804642442634196,-33.82412710961655,-33.25407065459288
2,0.07607630996444915,0.0010929902870494192,0.0771693002294611,0.07393738292564786,0.0012835350032015373,0.07522091760091443,-29.01977195530435,-25.732833631214547
3,0.07411368407401038,0.0011388540835009916,0.0752525382530869,0.07167721744321409,0.0013946119133386853,0.07307182943519673,-23.499567477627874,-21.008510051203555
4,0.07190739996577977,0.00134644835892891,0.0732538483536129,0.06924961149041119,0.0014978253441325852,0.07074743652807884,-18.889249046807098,-17.61924705078286
5,0.06959908197037314,0.0015812547393884147,0.07118033666281216,0.06610434021943254,0.0017160555795331287,0.06782039588754946,-14.348821983702061,-11.877693943638619
6,0.0670338479191351,0.001771356398974314,0.06880520427515233,0.06247697321728605,0.0019156926213267458,0.06439266578787989,-10.38147179719025,-9.59390969615165
7,0.06506915293654378,0.001858963786473623,0.06692811685252746,0.060438188342530216,0.0019692552758315885,0.062407443696846726,-7.6454774029297425,-6.530680513121391
8,0.06326959386662119,0.0019149934542103478,0.0651845874032325,0.060979026975364635,0.001840460005717586,0.06281948696231582,-5.622202421739105,-4.635466044717799
9,0.061267602389016594,0.0020102253694736253,0.06327782770100117,0.0586311746734739,0.0020024976750347215,0.06063367227916835,-3.7361337042966825,-2.4589402551859454
10,0.05947068687502821,0.0021060109676650134,0.06157669782464805,0.05590762138936689,0.002092117181746289,0.057999738639658266,-1.9283741076460263,-1.1363460125167513
11,0.057651608433722634,0.002191727666697875,0.05984333602632351,0.05424104820774064,0.0023385962144385187,0.05657964461874929,0.18531653019299396,1.7599720876724994
12,0.05583573914604423,0.002280635239277929,0.05811637433805338,0.053040932456815175,0.0021261648606391917,0.05516709744054926,2.060877500819898,2.86579806882827
13,0.05428289850747062,0.002321667995895368,0.05660456652268869,0.04926468751551023,0.0024048936301384305,0.051669581248704854,3.1013098549613902,4.843218215176316
14,0.052830418474737184,0.0023831957237365744,0.05521361422514229,0.05063717596517886,0.0023232949999430793,0.0529604710872626,3.9435273264988298,5.681017610300434
15,0.05078505577241033,0.0025178589016538935,0.053302914744807695,0.04687442734348969,0.0025802031299353785,0.04945463042889462,6.004064564106396,7.84538059807866
16,0.0491345559485737,0.002608402743961136,0.051742958707226484,0.04230627805869924,0.0026539926699622246,0.04496027073756756,7.085547808102946,8.807638660154707
17,0.04768348374341414,0.0026712133557138394,0.0503546970734176,0.04606376653995182,0.002606152150973352,0.04866991862349334,7.544099605623096,8.88528316268504
18,0.04625008171820305,0.002702040501661977,0.04895212214992002,0.041821209693459864,0.0027589779725690155,0.044580187556929274,8.014453637910641,9.460770248063927
19,0.04503072166766854,0.0027680027145963924,0.047798724334038006,0.038115827178409514,0.002727005079826289,0.04084283228495408,8.365764229222417,9.959958037392038
20,0.0435936116384769,0.00282862542557373,0.04642223716114324,0.03639337834723986,0.0027377370692779376,0.03913111538407418,8.8769663817598,10.331676579563995
21,0.042358319566359,0.0028677001520122604,0.045226019708789755,0.03657569066504312,0.00274481543446662,0.03932050619620443,9.298910490606383,10.299069283438511
22,0.04119443352780061,0.0028866795868969257,0.04408111313897069,0.03854509479177943,0.0028159822110860235,0.04136107702194993,9.599460910213663,11.315507587839345
23,0.04010551887729163,0.0029362889271183513,0.04304180778588573,0.03574678658563746,0.0028675366450696574,0.038614323128605146,9.842549783212167,11.390164216359457
24,0.039025512032098406,0.0029532598741659165,0.04197877195544939,0.03662885539742604,0.002836824251310849,0.03946567973620742,10.102381997965328,11.513211470484082
25,0.0379426106708367,0.0029858801956575962,0.040928490820183676,0.03199846671049386,0.0029942592503528413,0.034992725817395036,10.371498361700029,12.109144274654284
26,0.03699338434210407,0.0030077040263813176,0.0400010883585845,0.02699635586004114,0.0029966390902899163,0.029992994931246575,10.51013702096926,12.518118589953646
27,0.035994141611726684,0.003019247655354348,0.0390133892833696,0.02644931629829394,0.0032692364317777217,0.029718552751700735,10.739763788398564,12.848259673092535
28,0.03492363332163936,0.00305192379455947,0.03797555716123192,0.026995637235257143,0.003148306504685859,0.030143943666149683,11.02735426494614,12.811539801092096
29,0.03441296414496436,0.0030849274472730804,0.03749789161651059,0.03331326899663265,0.002925557465435011,0.036238826628102634,11.134147564570108,12.169086415910982
30,0.033404646115569175,0.003114192566447297,0.0365188387612236,0.03187096914622546,0.0029255549723659056,0.03479652413131435,11.394859105634755,12.486189809653277
31,0.03273327610185894,0.0031178648131982576,0.03585114090387877,0.029162729426180242,0.002920898324186542,0.03208362777295008,11.439421254748016,12.721740550682194
32,0.0317061161954564,0.003122030003302934,0.034828146190135974,0.02984974050354925,0.0031649276742691307,0.03301466819244982,11.661105919603784,13.058195472415028
33,0.03128512033014794,0.0031635267947467023,0.034448647143418894,0.025681630143376648,0.00307500302661821,0.028756633182081694,11.807415680630218,13.656714720804183
34,0.030323378522005263,0.0031643124263406575,0.03348769093844503,0.023953050461501046,0.0030447071277577165,0.026997757645557976,11.989383848933363,13.271472008501897
35,0.0299359556359069,0.003199025862102891,0.033134981528670615,0.030876087085878263,0.0030573002149254245,0.03393338724482255,12.029020217220479,13.736070376276318
36,0.029278317739770573,0.003195294374165691,0.03247361216407949,0.026786360696283845,0.0030042331021971225,0.02979059378957488,12.21962320134146,13.259245210658007
37,0.028755125616496974,0.0032217751154280045,0.03197690067283901,0.022544064111193345,0.003220731568398066,0.0257647956232922,12.262301998046855,14.221296128028078
38,0.02821808261988462,0.0032329870217360957,0.031451069643856404,0.017675634633871864,0.003220221960008694,0.020895856592926334,12.389084212246908,14.258103073620406
39,0.027701979965502995,0.0032678485243735817,0.030969828486043974,0.02170466833946402,0.003366375845205548,0.02507104419293951,12.49300647436019,14.82326472131281
40,0.02675265414622422,0.0032806527658412934,0.030033306932825448,0.02230709246894131,0.003146549948883024,0.025453642443270304,12.694638578980058,14.253578157372813
41,0.026571273389789794,0.00326812058330778,0.029839393994496276,0.022363457892375076,0.003147435361834986,0.025510893152426176,12.74214131907344,14.590642645059388
42,0.02607798944157133,0.0032887492684675547,0.029366738722494845,0.02120178839181616,0.003101560602071466,0.02430334895381022,12.858958748960037,14.502841027056585
