Epochs,Train 1Perceptual_Loss,Train 1L2_reg,Train Total Loss,Val 1Perceptual_Loss,Val 1L2_reg,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.08603761391076323,0.026507380987479262,0.11254499483190171,0.07124049457437966,0.024752287194132805,0.09599278276057346,-41.20398357861662,-30.661772883456685
2,0.05747555266708544,0.023140470790740563,0.08061602346292913,0.04510707517518946,0.021564945578575134,0.06667202119917973,-21.402115053673313,-16.55978260934353
3,0.04285573935876154,0.0200637634588431,0.06291950295028621,0.03510524189788038,0.0186189953237772,0.05372423666488865,-11.61132096558401,-7.43308910338775
4,0.03683665760677971,0.017596482909093165,0.05443314049546033,0.028765164285331317,0.01666453294456005,0.045429697442475866,-3.7679238743978005,1.6166999443717625
5,0.0295496627841502,0.01573388575486941,0.04528354863597922,0.028273515555116792,0.014837539754807949,0.043111055583247675,2.6350340918318866,3.536774220673934
6,0.02644033970898145,0.013990427691438427,0.0404307674718638,0.019989773469126743,0.01326247863471508,0.03325225206334954,5.846071903019736,8.341363465008529
7,0.022860930916177084,0.012536211179135597,0.035397142034075034,0.01921574520352094,0.01184854842722416,0.03106429357000667,9.117596874988243,10.801742864691693
8,0.022090070199680654,0.011608491837978362,0.03369856207338098,0.014671796031863145,0.011878792196512222,0.026550588137267725,11.63627526662121,14.021131922369419
9,0.019107690338708766,0.011318013898722112,0.030425704224673035,0.01406626765737715,0.01076645590364933,0.024832723510411124,13.440311098751957,15.377740673396898
10,0.019382207386501846,0.010686993586180145,0.03006920093440846,0.013093218359205386,0.010308891534805298,0.023402109813026113,13.413816472928819,15.713827153910762
11,0.01728640166302658,0.009858270277817771,0.02714467196636004,0.013981139717583099,0.009435832500457764,0.023416972283840827,14.637300052381542,16.73673374756523
12,0.018017255790429572,0.009319314799488406,0.02733657058991798,0.01634871682820275,0.009321747347712517,0.0256704642518383,14.617277969726144,15.64904643141705
13,0.01682118560404402,0.009035476320104239,0.02585666201600473,0.011486021381721872,0.008679844439029694,0.0201658658258131,15.7430541783163,17.46765620812126
14,0.015883851893348237,0.008376018738705818,0.024259870606538367,0.01243394743853613,0.008104480803012848,0.020538428130195192,16.38867845404638,17.53810889824577
15,0.015258912280303974,0.00781930711452071,0.023078219408858312,0.012315453217445833,0.0075561911799013615,0.01987164432142416,16.945797217382143,17.35803987668908
16,0.015107500486790318,0.007362493970877912,0.022469994456392445,0.010566299705280235,0.007120577152818441,0.01768687691377557,16.76690109723235,17.60756138096685
17,0.014869392619863765,0.0069776410849331175,0.021847033745621983,0.010411279402551767,0.006878649350255728,0.017289928848976673,16.94245890787203,17.972478659256645
18,0.015891971847374144,0.0068759877298486555,0.022767959575947017,0.01363603202322417,0.006940599996596575,0.020576631933774635,16.423696094669708,16.934937850288723
19,0.014776734099404453,0.006701626400271915,0.021478360460127053,0.012163163825829068,0.0064602685160934925,0.01862343222550724,17.116042330493666,17.95192635577658
20,0.017828939439193028,0.007653368446873884,0.02548230792051309,0.013198458609859581,0.007486509624868631,0.020684968184112855,15.221358415525254,16.709317964056265
21,0.014820051435636332,0.007108198924066678,0.02192825034822095,0.011844183981378117,0.0067820376716554165,0.018626221647971997,17.1251464425701,17.49554965807044
22,0.014120523497615367,0.006514614653352597,0.02063513815862267,0.009564491993565436,0.006283110938966274,0.015847603021108585,17.535132888898456,18.550029879030973
23,0.014161610822767427,0.006144525475595912,0.020306136283053926,0.01063696664261996,0.006087884772568941,0.016724851316488955,17.368682409312626,18.2332778495291
24,0.015003260780023793,0.006119833820282596,0.021123094578618055,0.018291414609057425,0.0062452941201627254,0.024536708734281685,16.967401415681184,17.14416744398034
25,0.014324709025454031,0.0060435915850613215,0.02036830062072163,0.009069379036942415,0.005849585868418217,0.01491896486233758,17.47772823229228,18.957463295563407
26,0.014317036223636097,0.005729073061518473,0.020046109282603003,0.012645195086446145,0.005648117978125811,0.01829331293297203,17.64336082772033,17.719714527544767
