Epochs,Train 1Perceptual_Loss,Train 0.1latent_loss,Train Total Loss,Val 1Perceptual_Loss,Val 0.1latent_loss,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.07858273516241743,0.0034178678477783425,0.08200060276235409,0.07685930046756737,0.0010533640105493591,0.07791266420377733,-27.51463350314335,-21.743511498300105
2,0.07527851293423048,0.0011484008462874754,0.07642691388256102,0.0734354414839725,0.0010969232516302829,0.07453236444929584,-16.9694494605882,-12.381004634206413
3,0.07243695448118227,0.0013070788226647377,0.07374403332915816,0.06968671676850384,0.0015206456604961412,0.07120736234419332,-9.470617910962046,-5.079376505046595
4,0.0696013167204108,0.001486202959509104,0.07108751957308608,0.0654060356929654,0.0016576035780472111,0.06706363942901619,-4.470885372272244,-1.6505802692285652
5,0.06707203515967551,0.0015684447880605662,0.0686404799559602,0.06283492183750444,0.001974170628357475,0.064809092508802,-1.517729114337386,0.5810705253986713
6,0.06488046726653933,0.0017517914990600664,0.06663225876072879,0.060958566938023095,0.0019315010037042884,0.0628900678390688,1.0329869540385257,2.9947666912619533
7,0.06262753988949606,0.001914813717736496,0.06454235364380197,0.05830788491242896,0.0027424645444118706,0.06105034931720606,2.817635341926857,3.865022890391897
8,0.06088622486722159,0.0020338235929511254,0.06292004854672567,0.05731336874225752,0.0020421460079082638,0.059355514826344664,3.621642260639756,4.693697421602864
9,0.05910707880654698,0.0021178033590937653,0.061224882078289335,0.05558771459395931,0.002719172916999799,0.058306887450683964,4.248120371390272,4.871746458235334
10,0.057493759674340776,0.0021432691040692855,0.059637028693294326,0.052115413767433234,0.002231275235446516,0.054346689079058624,4.782885582931084,6.002942256914462
11,0.056004575120262155,0.002167149585676833,0.05817172463232107,0.050846259089319105,0.0029441672696953365,0.05379042639066287,5.156459121669761,6.240524516079595
12,0.05465220679645267,0.0022503922085644387,0.05690259896014371,0.050719022119794385,0.002141461601255645,0.05286048367477017,5.46079769955414,6.40077151431412
13,0.053192198215198126,0.002278067401689522,0.0554702656371685,0.04852197997149874,0.0025068189604640456,0.05102879904169854,5.812478426716128,6.630329497199241
14,0.05190777703761973,0.0024213211242663985,0.054329098157574446,0.04910990858419997,0.0022442207162464392,0.0513541292083638,6.001363899073319,6.682066170895686
15,0.05048834946675965,0.002407369467676381,0.05289571885586766,0.045026057934174774,0.0033454115552155944,0.04837146948493732,6.305331808017932,7.205846148436187
16,0.04941346062748439,0.002583178000579574,0.0519966386253492,0.04450285349733354,0.003308240294359787,0.04781109375543282,6.4858736207374,7.3644035986212435
17,0.04808198689995397,0.0026506033781289913,0.05073259023001574,0.044312007450422304,0.003090501023721092,0.04740250817006403,6.801625804809549,7.634694260000531
18,0.04678212684184435,0.0028526721289381385,0.049634798865545594,0.04385771182533659,0.0032421468844245406,0.04709985874125052,7.127371861937933,8.191003512815048
19,0.045512935344707246,0.002897344245856426,0.0484102795996661,0.04138807905583434,0.003047192832480485,0.0444352718660496,7.421825296757807,8.329210652679693
20,0.04427614117447486,0.002938067224496319,0.04721420830363517,0.0391130400414431,0.0033002233255496807,0.04241326333741184,7.7790892843683395,8.466464634150103
21,0.04340745992473083,0.003001330959654077,0.046408790780744925,0.03801081849699789,0.0032807489452486645,0.041291567384993115,7.921686014111968,8.939493280942322
22,0.042261859416113386,0.00304028990698291,0.04530214933251811,0.03800266867635843,0.00294816831083551,0.0409508369801963,8.153308681336286,8.872994563618644
23,0.041288559649533124,0.00305593835904719,0.04434449801448891,0.0382825191962263,0.00284135260439829,0.04112387179839806,8.369071575839824,9.003206043295522
24,0.040174772511958175,0.0031118428656213056,0.04328661529789327,0.037342606501684326,0.0027024534246578935,0.04004505992729644,8.52265033407957,9.078619331610007
25,0.03935597042217135,0.003245977595747437,0.042601947888568435,0.03573794281262843,0.0030469353749070704,0.038784878262283044,8.647100131698107,9.197835618680944
26,0.03847961158163345,0.003308167521406185,0.04178777904555058,0.035758847050124505,0.0036284720109740036,0.03938731914538829,8.710154601085334,9.313655811580803
27,0.03761809124178234,0.003297553604515972,0.04091564480813197,0.031956632519802436,0.003217191607156982,0.03517382407225058,8.905726453731416,9.56474101869135
28,0.03699034833654618,0.003384430241382672,0.040374778441072984,0.03182717849871988,0.003343417079256634,0.03517059550768202,8.942650384536659,9.61092963375029
29,0.03591727546259086,0.0034224534651905872,0.039339728823343016,0.03256139997901812,0.0034218789059210753,0.0359832789301058,9.103397991431594,9.704624157785718
30,0.035294803286122035,0.0035777874089731477,0.038872590720326484,0.027372356962229383,0.004603630643658584,0.03197598750474023,9.093622366260272,9.712676376592917
31,0.03464909190815377,0.0035202974673623757,0.038169389335114115,0.03200652651600743,0.0033092720963982,0.03531579846831782,9.303645397573504,9.8872778611105
32,0.034111203765049475,0.0035873374848055498,0.037698541273489414,0.033131439233697504,0.0032832391768098487,0.0364146784324545,9.35750704504989,9.985357300179903
33,0.033146883016107256,0.0036004983364260755,0.03674738126230747,0.032321293405740636,0.003346344783375437,0.03566763810609859,9.541225753530389,10.179000583502765
34,0.03259746924385081,0.003676703520085974,0.03627417277064384,0.028003518759715754,0.004183740449224502,0.03218725904863063,9.628042410103545,10.40187695769013
35,0.03232371260824681,0.0037255899732183814,0.03604930254218101,0.0302571874274745,0.0038954484609815755,0.034152635902451364,9.639897748112515,10.214741769384165
36,0.03138896925387641,0.0037546109178822756,0.035143580115227786,0.029147967909936044,0.003257859009063594,0.032405826843297875,9.738537089487815,10.209632391486663
37,0.030991915953237005,0.0037912220559344818,0.03478313801332347,0.028162060860198377,0.003607042154801063,0.03176910293802537,9.846069397422676,10.3613993561333
38,0.03027525642919974,0.003778646819214292,0.034053903251927246,0.02579212533004704,0.0042999861908241946,0.030092111564765538,9.890272097332488,10.653865845476995
39,0.03018205063302576,0.0038095870009267037,0.033991637565604374,0.02700004571936821,0.004080705125205463,0.031080750824853044,9.968306731458227,10.46721566179411
40,0.029307439515752966,0.0038345897281529644,0.033142029181306744,0.027202354301316817,0.0037919025457224965,0.03099425671408411,10.0817036667969,10.722299682638033
