Epochs,Train 1Perceptual_Loss,Train 1L2_reg,Train Total Loss,Val 1Perceptual_Loss,Val 1L2_reg,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.08466188586125635,0.02399286539995507,0.10865475137348045,0.07739931822794935,0.02232985571026802,0.0997291729664025,-44.10280530224108,-37.9452503764111
2,0.06227198340100785,0.02074772598706696,0.08301970951565324,0.0718054689426461,0.019542552530765533,0.0913480214126732,-24.43228014168674,-17.562318574151266
3,0.04706764597292632,0.018442162702957246,0.06550980861464592,0.041680012080494475,0.017081717029213905,0.05876172848207795,-16.791354555299836,-14.45905897150869
4,0.04415577430635283,0.015954410988990576,0.060110185438231246,0.04912448903221799,0.014853881672024727,0.06397836979316629,-13.043879403153511,-10.511879333983297
5,0.04027483487782413,0.013883958976358584,0.054158793736810554,0.037779386499491724,0.012953802943229675,0.05073318950345983,-8.46315708405351,-5.66608239321605
6,0.03699838706381517,0.012454637665658781,0.04945302477029905,0.02992375168706412,0.01185387559235096,0.041777627036461366,-4.467398906570591,-0.2454667480095573
7,0.032942416085159944,0.011729100173058575,0.04467151618167146,0.028372798985599176,0.012470110319554806,0.04084290964933841,0.2814695162315891,2.8070116159708602
8,0.02739219651493716,0.011816969692502937,0.03920916615896029,0.029349460134930585,0.01116584800183773,0.04051530849107582,3.6787995640545677,5.538975558851076
9,0.024368903586921627,0.010647232631502086,0.03501613623883626,0.021479190590426973,0.010178414173424244,0.03165760443991293,5.876825893578464,7.8740405385261
10,0.021330364604722964,0.009753667966347851,0.031084032530245716,0.01795637332226919,0.009368501603603363,0.02732487497648791,8.319425779009519,10.58818978200788
11,0.022168721217815192,0.009818618787988408,0.03198733992160183,0.01952791692810538,0.009903962723910809,0.02943187986460069,9.135063872925222,11.704868537252365
12,0.018247009696413394,0.009473661858945676,0.027720671550255933,0.01650623769155177,0.00909616518765688,0.025602402752670256,12.255190781534534,12.852194752382195
13,0.01681844773255799,0.008868921481787343,0.02568736923475788,0.015463726574797993,0.008449976332485676,0.02391370285666831,13.20563671686878,13.831983530003091
14,0.016744589573410275,0.008339643848371017,0.025084233437090705,0.013618196588535995,0.008034790866076946,0.021652987449551405,13.667516841627148,14.807719883711442
15,0.0161588718400222,0.007809999095250483,0.023968870896999152,0.01682984831985896,0.0077821617014706135,0.024612009778375857,14.120597030691904,14.248895406723022
16,0.015313552393999001,0.007492392514003058,0.022805944947551376,0.012226308979417967,0.007249374873936176,0.01947568370150807,14.790588821776925,16.76579008931699
17,0.01477432968987994,0.0071873992286010146,0.02196172888148321,0.01293064508607368,0.0069969287142157555,0.019927573764858687,15.1080034491134,16.021190840265024
18,0.014355670017738865,0.006835092893763356,0.021190762925535848,0.012344931839438885,0.006786050274968147,0.01913098203342246,15.522487499289317,16.072249879007753
19,0.01473284430597743,0.006686482462419631,0.021419326751811865,0.01436027892075641,0.006599037442356348,0.020959316236574366,15.551929881474743,14.660785789075105
20,0.015156055030042994,0.007170493635412765,0.022326548634836935,0.012730853024708189,0.007079471368342638,0.01981032422095861,15.143502473177975,16.21881548218105
21,0.013954065344615341,0.006811639316992401,0.02076570458761225,0.014571343007011583,0.006696536671370268,0.021267879875781742,15.963758072787769,14.621193802875021
22,0.013424221987593663,0.00648630785768571,0.019910529842727804,0.012789489331898158,0.006238745525479317,0.019028234882685152,16.19799563786755,16.725792200668998
23,0.013724464463861021,0.006207856386644791,0.01993232088240042,0.012959863691914665,0.006199789233505726,0.019159652879866568,16.193457757610165,16.580224348151166
24,0.01344933432641707,0.006024273311438626,0.019473607644234617,0.012683110590011853,0.005844089202582836,0.01852719983814851,16.465227482416857,17.180813830831777
25,0.01380270238047185,0.0059990753930011026,0.01980177776709403,0.01056859215579765,0.006013564299792051,0.01658215662262038,16.289378641729485,18.000063740688823
26,0.013174602580703285,0.005890077009337814,0.01906467956069806,0.0121096294960412,0.0057502854615449905,0.01785991495758619,16.630995384634357,17.418075934700344
27,0.012713344020080076,0.005606832982946748,0.01832017697495957,0.012543435157884074,0.005509635899215937,0.018053070965992367,16.92121649180373,16.265422344207764
28,0.013227271159779128,0.005693334959804603,0.018920606114480595,0.01469976881660683,0.005598903633654118,0.02029867243507634,16.424278502268333,15.368141174316406
29,0.012387957929136002,0.005490073346060841,0.01787803129433361,0.011634595454265565,0.005364543758332729,0.016999139339136687,17.064451113139114,18.290557156438414
30,0.012414750192722637,0.00526199810946845,0.017676748281778537,0.01412511958092775,0.005183156114071608,0.01930827579623007,17.040319369590446,17.66433618379676
31,0.012343381233003041,0.005134153963155943,0.0174775352191231,0.00982530030887574,0.005028914660215378,0.01485421488304501,17.132031459024507,18.567815397096716
32,0.013013066957411293,0.005124718675466433,0.018137785547400174,0.012315662198133119,0.005101635120809078,0.017417297344249877,16.684787609152597,16.32807316987411
33,0.012933969380308503,0.005239671305434345,0.018173640655124026,0.011494696833719701,0.00551199447363615,0.01700669133266353,16.804455524601348,17.00311202588289
