Epochs,Train 1Perceptual_Loss,Train 0.001kld_loss,Train Total Loss,Val 1Perceptual_Loss,Val 0.001kld_loss,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.15649193171446962,0.013110656415144006,0.16960258803740566,0.15318117706843143,0.0035007153147884277,0.15668189244450265,-30.674417412799336,-28.643840055645637
2,0.15444657009707619,0.0022519466645235728,0.15669851650841296,0.15296232611784394,0.0015096998341899927,0.15447202607427002,-26.665079082568337,-25.69565533332105
3,0.1534658804331644,0.0015048388298644925,0.1549707189420615,0.15128783306704377,0.0013702452471611565,0.15265807834155154,-24.785244353101476,-23.357308654065402
4,0.15266003094205108,0.0012565247331273218,0.15391655589166908,0.15142259159178104,0.001141332886796796,0.15256392451108627,-23.13619209102061,-21.90428826853914
5,0.1516710103741215,0.0011499409439721777,0.1528209513352589,0.14932206535957895,0.001225184036620875,0.15054724892636515,-21.399761667774396,-20.03715344824881
6,0.15086992214555325,0.0011385703872667454,0.15200849253480062,0.14916655651803287,0.0011137215517250435,0.15028027799331917,-20.11231459742007,-19.527548975314733
7,0.14992344225202256,0.0011594161791889795,0.15108285836931776,0.1484791746679342,0.0011393105628777224,0.14961848509199213,-18.972960057465926,-18.239513531271015
8,0.14918757655740572,0.0011954445001054802,0.15038302091490793,0.14857447569100363,0.0011442305766186625,0.14971870650660316,-17.563073303388514,-16.475339754572456
9,0.14835859227059356,0.0012434006652452354,0.14960199300136368,0.14675123524272216,0.0012791967023831775,0.14803043245425765,-15.763887402691328,-15.483935653038746
10,0.14750520013174173,0.0012837983476942571,0.14878899852669533,0.1470342569334327,0.0013341702244086366,0.14836842682001725,-14.686633747782283,-13.39017782312519
11,0.14692060357498424,0.0013296837485589031,0.1482502872684164,0.14592179921719264,0.001382005422481529,0.14730380488173017,-13.884344095994484,-13.140010912913196
12,0.14611322870073112,0.0013898232009764478,0.1475030522413256,0.14583264673655888,0.0014088876040230663,0.147241534334871,-13.062153420060705,-12.467070361803163
13,0.14533756074754411,0.001451059579624775,0.14678862043753238,0.1452374298336371,0.0014729048705325936,0.1467103347604005,-12.163109344886246,-10.766383848325262
14,0.144522748376984,0.001524356427111281,0.14604710484018624,0.14350156687059493,0.0015523157001227,0.1450538829250156,-11.515206979217963,-10.892560444462974
15,0.14371820940989966,0.0016046696627954468,0.1453228790298921,0.14320841493471614,0.0016081314399961453,0.14481654654977458,-10.793547647887232,-9.998152196294857
16,0.14280664696514833,0.0016864518585900067,0.14449309866826116,0.14127774989267566,0.001804647384923092,0.1430823972624428,-10.074830041715915,-9.885889687403193
17,0.14196239206904726,0.0017545856778608505,0.14371697780357529,0.13980660877137813,0.001850696384933127,0.1416573052558134,-9.512585773585199,-8.276191563341978
18,0.14096637364188191,0.0018568691451609528,0.1428232427179419,0.1391643276473261,0.0021555043488986933,0.14131983198084921,-8.854817928348462,-7.709702254353829
19,0.13999540636242,0.001956978579102848,0.14195238483369013,0.13698180887215541,0.002090953057192547,0.13907276183929085,-8.246123562463065,-7.370953363742468
20,0.13906439650796762,0.0020195024643913755,0.1410838989347276,0.13694679713192975,0.0021703370824842803,0.13911713429217068,-7.660276141644426,-6.6525958818084785
21,0.13812322095599877,0.002081722850204465,0.1402049437975106,0.1358187473326359,0.0021282907632478284,0.13794703822372095,-7.29234880501922,-6.036310365739858
22,0.1373997847769684,0.0021485851157504172,0.13954836996677128,0.13450429149956072,0.0021714027795308043,0.1366756943880387,-6.899319073766301,-6.0206103422169415
23,0.13664174155950096,0.0022356745507260026,0.13887741611759918,0.13402169955507764,0.002330662363279119,0.1363523617386818,-6.5440245669595685,-5.172268711733368
24,0.13569426984792057,0.00231262071750044,0.1380068905940297,0.13388608542253386,0.00227605109805909,0.1361621361717863,-6.1688764179812035,-5.282421150185027
25,0.13487880082980558,0.0023828884046427933,0.13726168918812431,0.13209833564623347,0.0024303300635678308,0.13452866597557966,-5.849018252160689,-4.756135645227612
26,0.13416469123193356,0.0024557747865590444,0.1366204659864729,0.12981381831022928,0.002614570451671925,0.1324283886208849,-5.6114699335765295,-4.856389546619272
27,0.1334109148345113,0.0025121245692996397,0.13592303943572062,0.13070790836552404,0.0026037846103240296,0.1333116927096304,-5.284662688640431,-4.6113915074546385
28,0.13253474448207195,0.002581652096738521,0.13511639646833695,0.12745706274543167,0.002753460602307657,0.13021052346195816,-4.954255373130899,-4.245766279213833
29,0.13174749901676674,0.002636119888260052,0.13438361887388733,0.12898015850838626,0.0027600448648884613,0.1317402038231211,-4.722260256317252,-3.7247192572872594
30,0.13100431940829935,0.0027043269480629658,0.13370864617238648,0.1257021462861097,0.0028576437054412826,0.12855979012993146,-4.458868947450515,-3.6136562195588957
31,0.13028301024327094,0.0027617913171726445,0.13304480143060418,0.12952474171541772,0.0028161123003986365,0.13234085426577982,-4.25158231757539,-3.426029518977651
32,0.1294356987218325,0.002823651989544293,0.13225935067143468,0.1262833871509669,0.002921597540976023,0.12920498469809316,-4.0114542150232655,-3.5219936191473367
33,0.128748688096839,0.002907109226536759,0.13165579750669137,0.12565011064398965,0.0029895819262337853,0.12863969195563837,-3.8208249746372887,-3.28673569278897
34,0.12799227907408614,0.002974339834122174,0.130966618804997,0.12757849239234653,0.002892951675655566,0.13047144383473216,-3.59351900225551,-3.1641308834530273
35,0.12729072155666823,0.003037835937433494,0.13032855754031575,0.12314951333375472,0.0031625173950813852,0.1263120301911291,-3.3932171406009584,-2.685847468308683
36,0.12665018142818954,0.003097414599805507,0.12974759615563378,0.12562192383239854,0.003081761725809214,0.12870368552657793,-3.177303199196808,-2.6907994246707774
37,0.1259564751220448,0.0031506565554835085,0.12910713176181388,0.12478166760982208,0.0030613404118789815,0.12784300821850886,-3.0353711567086736,-2.5496684966222296
38,0.12525022126353982,0.0032008876066764074,0.1284511089677058,0.12124994605920225,0.0033120652796911464,0.12456201105466429,-2.8932274802603772,-2.294001166888003
39,0.12447950491833101,0.0032608538017905755,0.12774035862395242,0.1207909420694945,0.0033699324530250623,0.12416087403050009,-2.701697790949466,-2.3102864010716386
40,0.12400355463273584,0.0033162499206679363,0.1273198045247951,0.11756390951714425,0.003636947664748526,0.12120085745909304,-2.5620541042157066,-1.6696814423180977
41,0.12333043683355495,0.003356349748024094,0.12668678651445867,0.12030831911372689,0.0033491478086326203,0.1236574670194455,-2.387107429775939,-1.8570899745203413
42,0.1226304523569368,0.0034138498685211786,0.12604430228443586,0.12011697245937474,0.0034268704040924893,0.12354384317712963,-2.2302737841224176,-1.7604697044446784
43,0.12194674412432939,0.003466870345259772,0.1254136144044494,0.11630436880689747,0.0036124505981240634,0.11991681927498782,-2.075920018221345,-1.284874692615473
44,0.12121031151306313,0.003521830141491526,0.12473214163122759,0.11654763217523413,0.0036004687778054263,0.12014810091482019,-1.8971248030916052,-1.5172405540943146
45,0.12079292906902463,0.003564153869446219,0.12435708307997378,0.11786048284397935,0.0034824562540172405,0.121342938646393,-1.7794728055596352,-1.0918562808126773
46,0.12002752164276652,0.003602443424243628,0.12362996511344423,0.11861163809333207,0.0035758229960986183,0.12218746116279432,-1.6410753730902825,-1.519761341641534
47,0.11943525237881619,0.003636643155398717,0.12307189560595667,0.11724521139601492,0.003583647514131131,0.12082885911442198,-1.5246708680697785,-0.9555084343226451
48,0.11867609892272882,0.0036816872616293214,0.12235778617357486,0.11641335232921367,0.003757991411125744,0.12017134368981955,-1.3751632600797372,-0.7593930056634939
49,0.11829026330382139,0.003719681203154062,0.1220099444840885,0.11460739434608873,0.003738918211662544,0.11834631265615517,-1.2896751687001078,-0.5905032538018137
50,0.11779742675616858,0.00374486818685177,0.12154229496568723,0.11169335673440177,0.0038869558714927648,0.11558031250002249,-1.189715370768241,-0.3396521873069259
51,0.1172692411260535,0.0037842545995492283,0.1210534958052669,0.11403385875219445,0.003894487570725241,0.11792834617619244,-1.1147720453193823,-0.6555269448262341
52,0.1166009386835905,0.0038143491774308013,0.12041528794794767,0.10952905311055904,0.004119404465979281,0.11364845784627042,-1.0046098702472752,-0.5081642286957435
53,0.11610175022020908,0.003862179439895151,0.11996392960640793,0.11295346602938085,0.003918082542928322,0.11687154834562878,-0.889722240472561,-0.6514627191255677
54,0.11564703029360347,0.003880782974294135,0.11952781325843474,0.11365159250233534,0.0037195340703891694,0.11737112647519922,-0.8097416509175233,-0.6122550314327456
55,0.11512049904448775,0.003909306729428949,0.11902980573320433,0.11263486924317648,0.003825058709425887,0.11645992797500683,-0.748697595963068,-0.3093681066103701
56,0.11468392604916218,0.003935536965842241,0.11861946304207263,0.1086239633765423,0.004013512632809579,0.11263747573742326,-0.7047902611990957,0.037384454203101825
57,0.11406997299008423,0.003963175172510862,0.11803314834128932,0.11081540803864318,0.003910984963459789,0.11472639295992987,-0.5778467707152853,-0.18121591148511418
58,0.1137558477974738,0.003988557691916485,0.11774440538947997,0.11007296801456866,0.004093931574936745,0.11416689960883473,-0.51494011754744,0.0536625659690713
59,0.11320077420858445,0.00402181741446151,0.11722259172405661,0.10766323023247269,0.004152500326745212,0.11181573090407083,-0.43868485689585734,-0.20258138354094524
60,0.11301193687367642,0.004045571213313475,0.11705750799148092,0.10941077772317068,0.004023529261016762,0.11343430700307747,-0.36980725062873726,0.31067693430297777
61,0.1124124124554639,0.004056777105937819,0.11646918951408737,0.1058217936459015,0.004205395590584233,0.11002718930677423,-0.28601294175663605,0.3368432307018424
62,0.11215094151239427,0.004087472538726091,0.11623841400710701,0.10910325368058006,0.004044815416904693,0.11314806933251192,-0.26055089756142213,0.2180614766366077
63,0.11151391202636725,0.004104295339468789,0.11561820746552628,0.10729950844257508,0.004231084603816271,0.11153059341716316,-0.17526936788809097,0.1567792643353624
