Epochs,Train 1Perceptual_Loss,Train 1L2_reg,Train Total Loss,Val 1Perceptual_Loss,Val 1L2_reg,Val Total Loss,Train SI_SDR,Val SI_SDR
1,0.09264307720203922,0.1320151221466391,0.22465820002229248,0.07817946022133464,0.10964769124984741,0.1878271511067515,-41.97238035332667,-37.289658069610596
2,0.07392488075037525,0.08985224684623823,0.16377712741290054,0.06824667425826192,0.07227737456560135,0.140524049491986,-33.803752475895294,-32.94652769325868
3,0.06661957667706764,0.05954757432823312,0.1261671511890137,0.057217556497325066,0.049158353358507156,0.10637590912697108,-31.770050033151286,-33.19606469053289
4,0.056704090188627376,0.04076032890644792,0.09746441914610667,0.04905512481522949,0.03280581161379814,0.08186093673271977,-25.93802035638731,-13.35186800878981
5,0.05424661398546336,0.03406966943038653,0.08831628335461225,0.04274413149560923,0.029541049152612686,0.07228518083043721,-19.617147367621122,-18.07983124256134
6,0.044970336786075815,0.02411073588651337,0.06908107276444565,0.04558970372233054,0.02006766013801098,0.06565736448797195,-13.180478023829526,-16.74834067406862
7,0.04850780507166908,0.020540099565501083,0.06904790465758272,0.04132211368288035,0.01864740438759327,0.059969517483335476,-13.20865896793261,-10.337115780814834
8,0.04524355372031257,0.019331773110244373,0.06457532677952557,0.040830615260030914,0.016864454373717308,0.05769507016014794,-11.674515247671572,-8.477609227532925
9,0.04393991731515486,0.016543460336245902,0.060483377804494885,0.03988654184681566,0.01569746434688568,0.05558400613296291,-9.774318028966041,-9.402195180239884
10,0.0377270699874179,0.012914846878345699,0.05064191688107301,0.02786142742463752,0.011781127192080021,0.0396425545256099,-3.535985381146,1.3244334653667782
11,0.030777803573706377,0.012013507386899158,0.04279131091212573,0.025987200773037646,0.013164572417736053,0.039151773079419916,0.8422638207265776,3.1928923583549
12,0.02810171864518564,0.011251683002465393,0.03935340167826985,0.021564631409052272,0.009937920607626438,0.03150255172310964,3.303376190793024,7.008598475352578
13,0.024175919941945435,0.009431461295852922,0.033607381281175026,0.020072776105497844,0.0088165532797575,0.028889329496609127,6.81070292714524,9.135750497164933
14,0.021131408803981462,0.008279743323689455,0.029411152107258365,0.018148104958843603,0.007809173781424761,0.025957278532745397,9.649695360823854,11.463082920597946
15,0.01902835274191752,0.007597262263042878,0.026625615036855007,0.01443554628033029,0.007231818046420813,0.02166736437736646,11.790695462161548,13.455726716829384
16,0.018486138718993697,0.00698678170853894,0.025472920380328615,0.019490240091134026,0.006666859146207571,0.026157099166480097,12.57021982898451,12.714259321274964
17,0.018194642372123183,0.006757192705336907,0.024951835058323324,0.013836028717417756,0.006352292373776436,0.020188321076009586,12.99236630740231,14.189934917118238
18,0.017657121105043038,0.006170249739279077,0.02382737084304633,0.013308592039443876,0.005841971840709448,0.019150563890276397,13.605465836720924,14.824722906817561
19,0.016976569018849773,0.0057586512285960866,0.022735220237239583,0.012703317592082463,0.005759232211858034,0.01846254960147907,13.994578968988707,15.174941700437795
20,0.016031938852512674,0.005611869746385372,0.021643808637171576,0.012793112920759164,0.005372113548219204,0.018165226529716798,14.816035320334239,15.053084306094958
21,0.0163429519161582,0.005397737426810885,0.021740689335314378,0.014242167275844386,0.005645308177918196,0.01988747562079326,14.857733893721072,13.881800361301588
22,0.015573427940986744,0.005387187698116041,0.02096061565186063,0.013685501413419843,0.005293882917612791,0.01897938452337099,15.335368597997379,16.11281739110532
23,0.015583256828560405,0.0051836812026696665,0.020766938059297326,0.01199912397271913,0.005071117077022791,0.017070240918141993,15.474505542075796,16.241939285527106
24,0.014998707728945229,0.005041660510054598,0.020040368268342868,0.012756010370693453,0.005020727403461933,0.01777673769823235,15.905335010894357,16.0890953955443
25,0.014948443376956737,0.005041360213383012,0.019989803601821808,0.012077147900329335,0.005002589896321297,0.01707973777640449,16.091072821943726,16.180448283319887
26,0.014641303810201687,0.004786976485525909,0.019428280307209656,0.01378491902521447,0.004680263344198465,0.01846518212645922,16.391984571169502,15.129071712493896
27,0.014603619871992771,0.004611716674615259,0.019215336515989206,0.011794063657441217,0.004587054252624512,0.0163811179201888,16.58329890786785,16.605689359747846
28,0.015082985431925483,0.0045912119942678985,0.019674197461915344,0.012963153426940351,0.0048415460623800755,0.01780469933241282,16.470961557675714,15.47475132216578
29,0.015180874452607272,0.0048686885428040816,0.020049562999238706,0.011927398083650547,0.004579105880111456,0.016506504125731146,16.034034551333075,16.14208414243615
30,0.014544469396239275,0.004444942941047149,0.01898941238959358,0.012851165152033385,0.00436838623136282,0.01721955140364235,16.716798191854398,16.214002417481463
31,0.014169697430342028,0.00428594247731444,0.018455639892347053,0.012498652010791651,0.00438441289588809,0.01688306514457192,16.88456857498378,15.81728216357853
32,0.014674654225372289,0.004254420767602038,0.018929074957252365,0.014540050021858642,0.004251289181411266,0.01879133924882373,16.769076747110446,15.175492986388829
33,0.014131145512251413,0.004265885550069483,0.01839703111717962,0.011590788798892627,0.004123013000935316,0.015713801901058658,16.893451970244108,16.284789209780484
34,0.014090290069835235,0.004196138525611326,0.018286428623513817,0.013031185751416437,0.004225464072078466,0.017256649950033297,16.778292297990355,16.194130223730337
35,0.013973527432304539,0.004123623033806886,0.018097150445698876,0.012544867623111477,0.004080910235643387,0.016625777868877933,16.853627301568853,15.422730762025584
36,0.014549549336047614,0.004046841622776773,0.018596390963927525,0.011617935252497378,0.004186033736914396,0.015803969151380916,16.804501849657868,17.073978382608164
37,0.015238867564866804,0.005442988816393565,0.020681856353193112,0.012856846538615291,0.004931880626827478,0.017788727008535163,15.641619123171454,16.363160838251527
38,0.014603044613175195,0.004693622144628061,0.019296666734839138,0.01031883010316802,0.00453708553686738,0.014855915538804687,16.909335285343538,17.60887919301572
39,0.014353851480281924,0.0044680396503169245,0.018821891147184047,0.013681928824592867,0.00431247940286994,0.017994408455231915,17.06267337276511,15.873747079268746
40,0.013831036549367725,0.004228373502113231,0.018059410042550465,0.011709976217547513,0.004097525496035814,0.015807501506060362,17.346870262982094,17.216001520986143
41,0.013539358052386813,0.004083964649638901,0.017623322719886696,0.01236691209487617,0.0041357059963047504,0.01650261786847335,17.52624287801246,17.226227687752765
42,0.01383404721671792,0.004095486124135452,0.017929533289821997,0.01271825236187357,0.004176117945462465,0.01689437007450539,17.397643988099816,17.379924411359042
43,0.013367799064782384,0.004046457360358271,0.017414256425140655,0.013185310562181732,0.004098324570804834,0.017283634971017422,17.740978544052332,16.367909498836685
44,0.013327648451118028,0.004046771925402014,0.01737442042627563,0.010288513468011566,0.0038765016943216324,0.01416501517245627,17.68027848544186,18.010505624439407
45,0.013886139920772346,0.003999190820916875,0.01788533071234618,0.013296227557989567,0.0039724139496684074,0.01726864155827333,17.596337595377882,16.101785991502844
46,0.013701473534974742,0.0040113123095505045,0.017712785852179953,0.012905029281366455,0.003979597706347704,0.01688462684092962,17.714885489581384,16.4043086508046
47,0.013190055000659538,0.003815509983631846,0.017005565017461775,0.010038546418123271,0.003748148214071989,0.013786694763795189,18.041953951691927,18.17394675379214
48,0.013153788666814974,0.003832619258342949,0.016986407987671356,0.014221850772509757,0.0039041193667799234,0.018125969916582108,18.0046591327615,16.254729841066442
49,0.013601293445449986,0.003970425183030024,0.017571718656547265,0.014827272743391602,0.0037743542343378067,0.018601627018221694,17.789905239784556,16.394249760586284
50,0.013188718480045257,0.0038711299456349792,0.017059848472884255,0.012281700806773228,0.003861501580104232,0.016143202548846602,17.92717662706767,17.329745189003322
51,0.013292315445381076,0.003847453312642158,0.01713976875355799,0.012563348398543894,0.0039017333183437586,0.016465081620718473,17.855600226415348,16.260323301605556
52,0.01283207420923122,0.003742872487294347,0.01657494665570047,0.011838010254154064,0.0036595636047422886,0.015497573621004172,18.058897321518153,17.601352422133736
53,0.013766541246528903,0.004135830910264017,0.017902372167637088,0.015625971344137644,0.004097410943359137,0.019723382343173675,17.346634331794633,14.17212580597919
54,0.013137466313751185,0.003936401967035785,0.017073868253357605,0.01914788330601447,0.0038872906006872654,0.023035173921886344,18.011362269153334,14.108662320219953
55,0.012606284934517048,0.003750234287334223,0.0163565192601248,0.014238268354624186,0.003684865077957511,0.017923133589489305,17.997623085649046,15.444395003111467
56,0.013146576319808421,0.0036702421666059185,0.01681681846919125,0.014035150788359992,0.0036139427684247494,0.017649093774430778,17.850485425452664,14.974051024602806
57,0.01293382105634433,0.0036034397774516312,0.01653726081529709,0.013699475969390376,0.003555723698809743,0.017255199830169262,18.109997934837864,15.49502186153246
58,0.013704893956190511,0.003801323013533264,0.01750621697929216,0.014614150904969352,0.0038722921162843704,0.018486442985822974,17.752011868725084,15.594973035480665
59,0.013343993946909905,0.0036489049170472443,0.016992898851837197,0.013158484908711651,0.0036375902127474546,0.01679607487850539,18.02009143045504,15.340993160786836
60,0.012833306308172338,0.0035341752182743323,0.016367481536652944,0.015637807841615184,0.003483313135802746,0.019121121088771717,18.262570268813878,14.564930926198544
61,0.013041679895393652,0.0034743714305789093,0.01651605133171359,0.014455765921055623,0.0034397717099636793,0.0178955374184348,18.1669140463006,14.938193207201751
62,0.01365694654340001,0.004000428950490608,0.017657375483684346,0.011381565628613791,0.003681448521092534,0.015063014296490861,17.057849092352882,17.47466702046602
63,0.01325233625375653,0.003731656113435348,0.016983992358899278,0.016437564718375063,0.0036972539965063334,0.020134818537727646,18.074094756662028,16.08874722149061
64,0.012879801422918905,0.003631984705284034,0.016511786091205193,0.012875497842248044,0.003738116705790162,0.016613614401253668,17.949625459435868,15.798921294834303
65,0.012809540304572207,0.0035818060120082883,0.01639134629489216,0.011683132033795118,0.003563189646229148,0.01524632184199341,18.24039096570995,17.184766385866247
66,0.012995701614920406,0.0044294560596040665,0.017425157678351826,0.01184938901670925,0.004340643994510174,0.01619003293023485,17.355717734767968,16.462395831294682
67,0.01417351556201912,0.004317496622568124,0.018491012202448226,0.013425227360921386,0.004730189219117165,0.018155416585100087,17.140175383058313,15.119642594586248
68,0.014086158867057871,0.004502627562272222,0.018588786414020682,0.011168912078415893,0.00426560128107667,0.0154345132228311,16.8271572060781,16.79820103230684
69,0.013320767444443622,0.004090549796819687,0.01741131723233282,0.011333779330648806,0.003985858988016844,0.015319638450265578,17.72033700812353,17.8890561591024
70,0.01296502557034566,0.0038717958393621526,0.016836821389933154,0.011656504190202964,0.0037490499671548605,0.01540555429401929,17.96667470278805,17.46940175346706
71,0.012915243614107778,0.003756948922161166,0.016672192557319387,0.009191261224813112,0.0036915529053658247,0.012882814195978901,17.955887773592178,18.663268897844397
72,0.013121075905247094,0.0037354843180677664,0.016856560210557016,0.014835753219971515,0.003861562116071582,0.018697315077904775,17.794198109352426,17.6047980422559
73,0.012442705039037008,0.00364819562560177,0.016090900678034516,0.010244982742259035,0.003579905955120921,0.013824888636641528,18.386790330442665,18.39502065078072
74,0.012373676935644591,0.003559831968725544,0.015933508903094352,0.009738687015867428,0.0034805680625140667,0.013219255184673744,18.10611262648073,18.481110101160795
75,0.012397162168452592,0.0035018854155779294,0.01589904753363704,0.008329868179988925,0.0034761668648570776,0.011806035211876682,18.28494328799313,19.046485341113545
